delta_fd_coeff,delta_red_coeff,mean_coverage,mean_fault_detection,mean_redundancy,mean_test_cases,selected
1.0,-1.0,89.2,82.1,5.55,20.45,
1.0,-1.5,89.68,84.71,5.78,20.17,
1.0,-2.0,88.11,82.12,3.44,21.01,
1.0,-2.5,86.13,82.8,3.3,21.09,
1.5,-1.0,87.1,85.36,6.62,20.01,
1.5,-1.5,90.03,85.79,4.68,20.31,
1.5,-2.0,90.79,84.35,3.19,20.19,YES
1.5,-2.5,90.24,85.41,3.61,21.46,
2.0,-1.0,88.68,87.89,5.76,21.1,
2.0,-1.5,90.15,86.47,5.72,21.15,
2.0,-2.0,89.52,84.18,3.46,20.58,
2.0,-2.5,86.4,84.93,2.2,20.56,
